scenario,events,split_mode,base_distribution,background,base_info,background_info,event_infos,scenario_group,dataset,length
trend_shift+collective_anomaly,"trend_shift,collective_anomaly",ood_params,ma,single_seasonality+linear,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 2, 'ma_coefs': array([-0.61641366,  0.79060584])}","{'background': 'single_seasonality+linear', 'slope': np.float64(0.00841488896163994), 'intercept': 0.12589372607026372, 'seasonal_period': 24, 'components': ['single_seasonality', 'linear'], 'seasonal_amplitude': np.float64(0.9674422732549338)}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'end', 'shift_indices': [np.int64(24), np.int64(264)], 'shift_types': ['direction_and_magnitude_change', 'direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.00841488896163994), 'intercept': 0.12589372607026372}}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'end', 'starts': array([281]), 'ends': array([323]), 'lengths': [42], 'magnitudes': [np.float64(1.8894341290541665)], 'magnitude_strengths': [1.5490316217885485], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_params,400
trend_shift+collective_anomaly,"trend_shift,collective_anomaly",ood_params,arma,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 1, 'ar_coefs': array([0.35989145]), 'ma_order': 5, 'ma_coefs': array([-0.53907691,  0.34519289, -0.26186742,  0.64951187, -0.36162084])}","{'background': 'linear+single_seasonality', 'slope': np.float64(0.010677862534134146), 'intercept': 0.05280466626751956, 'seasonal_period': 12, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(2.052182488110881)}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'end', 'shift_indices': [np.int64(144), np.int64(228)], 'shift_types': ['direction_and_magnitude_change', 'magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.010677862534134146), 'intercept': 0.05280466626751956}}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['triangular', 'triangular'], 'num_anomalies': 2, 'location': 'none', 'starts': array([137, 254]), 'ends': array([189, 293]), 'lengths': [52, 39], 'magnitudes': [np.float64(-3.379582164276483), np.float64(-3.5821059474092807)], 'magnitude_strengths': [1.9503645386935493, 2.374988131305721], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_params,400
trend_shift+collective_anomaly,"trend_shift,collective_anomaly",ood_params,arma,linear,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 2, 'ar_coefs': array([-0.03404684,  0.23994011]), 'ma_order': 2, 'ma_coefs': array([ 0.78110102, -0.02313627])}","{'background': 'linear', 'slope': np.float64(-0.009507465979075489), 'intercept': 0.21005927995878815, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [284], 'shift_types': ['direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.009507465979075489), 'intercept': 0.21005927995878815}}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'end', 'starts': array([298]), 'ends': array([356]), 'lengths': [58], 'magnitudes': [np.float64(2.0111124410731946)], 'magnitude_strengths': [2.0769012469988413], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_params,400
variance_shift+trend_shift,"variance_shift,trend_shift",ood_params,arma,single_seasonality+linear,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 2, 'ar_coefs': array([-0.8050119 ,  0.02564969]), 'ma_order': 3, 'ma_coefs': array([-0.69857243,  0.33091369,  0.48057637])}","{'background': 'single_seasonality+linear', 'slope': np.float64(-0.01021035875215043), 'intercept': 0.156129985648092, 'seasonal_period': 24, 'components': ['single_seasonality', 'linear'], 'seasonal_amplitude': np.float64(1.7828192827604414)}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [117], 'shift_magnitudes': [2.107981411413781], 'wrapper_event_label': 'variance_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [94], 'shift_types': ['direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.01021035875215043), 'intercept': 0.156129985648092}}]",shift_shift,ood_params,400
variance_shift+collective_anomaly,"variance_shift,collective_anomaly",ood_params,ar,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 3, 'ar_coefs': array([0.27388976, 0.10362686, 0.43432694])}","{'background': 'linear+single_seasonality', 'slope': np.float64(-0.010386984690501087), 'intercept': -0.03201669928241557, 'seasonal_period': 24, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(1.9679407509276083)}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [349], 'shift_magnitudes': [2.260478641253614], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['decay', 'decay'], 'num_anomalies': 2, 'location': 'none', 'starts': array([ 89, 162]), 'ends': array([112, 189]), 'lengths': [23, 27], 'magnitudes': [np.float64(-2.8860285058922868), np.float64(2.5378340818692466)], 'magnitude_strengths': [1.528272476040868, 1.6966744593814391], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_params,400
mean_shift+trend_shift,"mean_shift,trend_shift",ood_params,ar,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([0.68284059])}","{'background': 'linear+single_seasonality', 'slope': np.float64(0.013141004984153831), 'intercept': -0.46146416495410525, 'seasonal_period': 52, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(1.4950536151754477)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [165], 'shift_magnitudes': [np.float64(2.76428451948796)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [221], 'shift_types': ['magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.013141004984153831), 'intercept': -0.46146416495410525}}]",shift_shift,ood_params,400
variance_shift+trend_shift,"variance_shift,trend_shift",ood_params,white_noise,single_seasonality+linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'single_seasonality+linear', 'slope': np.float64(-0.009109987077541615), 'intercept': -0.010787905493337413, 'seasonal_period': 24, 'components': ['single_seasonality', 'linear'], 'seasonal_amplitude': np.float64(0.7627872234767624)}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [84], 'shift_magnitudes': [1.6615108188350238], 'wrapper_event_label': 'variance_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(168), np.int64(216)], 'shift_types': ['direction_change', 'direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.009109987077541615), 'intercept': -0.010787905493337413}}]",shift_shift,ood_params,400
trend_shift+collective_anomaly,"trend_shift,collective_anomaly",ood_params,ar,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([ 0.09069878, -0.68703924])}","{'background': 'linear+single_seasonality', 'slope': np.float64(-0.011145987159472194), 'intercept': -0.22145533051294364, 'seasonal_period': 30, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(2.2819025602796925)}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [318], 'shift_types': ['direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.011145987159472194), 'intercept': -0.22145533051294364}}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['decay'], 'num_anomalies': 1, 'location': 'end', 'starts': array([342]), 'ends': array([375]), 'lengths': [33], 'magnitudes': [np.float64(3.6521968519496353)], 'magnitude_strengths': [1.8933202392334172], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_params,400
mean_shift+trend_shift,"mean_shift,trend_shift",ood_params,white_noise,linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'linear', 'slope': np.float64(-0.005556014524925914), 'intercept': 0.30654823546434007, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(119), np.int64(194)], 'shift_magnitudes': [np.float64(2.992619597972375), np.float64(2.341832401150242)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [96], 'shift_types': ['magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.005556014524925914), 'intercept': 0.30654823546434007}}]",shift_shift,ood_params,400
no_event,none,ood_params,arma,quadratic_trend,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 1, 'ar_coefs': array([0.09737237]), 'ma_order': 1, 'ma_coefs': array([0.39086761])}","{'background': 'quadratic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['quadratic_trend'], 'quadratic_strength': np.float64(0.5902932656982484), 'quadratic_sign': np.int64(1), 'quadratic_location': 'center'}",[],no_event,ood_params,400
variance_shift+point_anomaly,"variance_shift,point_anomaly",ood_params,white_noise,quadratic_trend,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'quadratic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['quadratic_trend'], 'quadratic_strength': np.float64(0.8273731901121255), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'center'}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [355], 'shift_magnitudes': [1.7927073779230263], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([358]), 'location': 'end', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_params,400
mean_shift,mean_shift,ood_params,ar,quadratic_trend,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 4, 'ar_coefs': array([ 0.4303683 , -0.46419043,  0.22352168, -0.81672299])}","{'background': 'quadratic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['quadratic_trend'], 'quadratic_strength': np.float64(1.4933027395753762), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'left'}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [184], 'shift_magnitudes': [np.float64(7.37045827895855)], 'wrapper_event_label': 'mean_shift'}]",single_event,ood_params,400
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",ood_params,arma,single_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 1, 'ar_coefs': array([0.04125932]), 'ma_order': 2, 'ma_coefs': array([-0.8001166 ,  0.45937379])}","{'background': 'single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 24, 'components': ['single_seasonality'], 'seasonal_amplitude': np.float64(1.610084699678843)}","[{'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([211]), 'location': 'middle', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([225]), 'ends': array([281]), 'lengths': [56], 'magnitudes': [np.float64(-3.9961104035694177)], 'magnitude_strengths': [2.435405377294836], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,ood_params,400
trend_shift,trend_shift,ood_params,white_noise,linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'linear', 'slope': np.float64(0.010039189484061975), 'intercept': 0.16284082535615707, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(161), np.int64(205)], 'shift_types': ['direction_and_magnitude_change', 'direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.010039189484061975), 'intercept': 0.16284082535615707}}]",single_event,ood_params,400
mean_shift+trend_shift,"mean_shift,trend_shift",ood_params,white_noise,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'linear+single_seasonality', 'slope': np.float64(0.007146053315695436), 'intercept': -0.18043383590015571, 'seasonal_period': 24, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(1.3693923620165191)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [327], 'shift_magnitudes': [np.float64(2.6892363299825117)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [349], 'shift_types': ['direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.007146053315695436), 'intercept': -0.18043383590015571}}]",shift_shift,ood_params,400
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",ood_params,arma,none,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 3, 'ar_coefs': array([-0.2433005 , -0.10978204,  0.57140951]), 'ma_order': 1, 'ma_coefs': array([-0.37883026])}","{'background': 'none', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': []}","[{'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([318]), 'location': 'end', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['ramp'], 'num_anomalies': 1, 'location': 'end', 'starts': array([342]), 'ends': array([377]), 'lengths': [35], 'magnitudes': [np.float64(-3.98505591543739)], 'magnitude_strengths': [2.2424694434158203], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,ood_params,400
collective_anomaly,collective_anomaly,ood_params,white_noise,quadratic_trend,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'quadratic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['quadratic_trend'], 'quadratic_strength': np.float64(0.6074420033810586), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'left'}","[{'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian', 'gaussian'], 'num_anomalies': 2, 'location': 'none', 'starts': array([119, 227]), 'ends': array([178, 277]), 'lengths': [59, 50], 'magnitudes': [np.float64(1.9847680111118309), np.float64(1.315498913608501)], 'magnitude_strengths': [2.248908797964699, 1.7606103407849178], 'wrapper_event_label': 'collective_anomaly'}]",single_event,ood_params,400
trend_shift+collective_anomaly,"trend_shift,collective_anomaly",ood_params,ar,single_seasonality+linear,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([-0.51013066])}","{'background': 'single_seasonality+linear', 'slope': np.float64(0.008137387109095713), 'intercept': 0.17149343061464994, 'seasonal_period': 24, 'components': ['single_seasonality', 'linear'], 'seasonal_amplitude': np.float64(0.6623685114874706)}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [210], 'shift_types': ['direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.008137387109095713), 'intercept': 0.17149343061464994}}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['decay'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([230]), 'ends': array([262]), 'lengths': [32], 'magnitudes': [np.float64(1.9165738815464315)], 'magnitude_strengths': [2.048720864710513], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_params,400
mean_shift+collective_anomaly,"mean_shift,collective_anomaly",ood_params,white_noise,linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'linear', 'slope': np.float64(0.008898379973644316), 'intercept': -0.1103926912219041, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [74], 'shift_magnitudes': [np.float64(1.6815587664380423)], 'wrapper_event_label': 'mean_shift'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'beginning', 'starts': array([120]), 'ends': array([173]), 'lengths': [53], 'magnitudes': [np.float64(1.5800598927389071)], 'magnitude_strengths': [2.0754766336327606], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_params,400
point_anomaly,point_anomaly,ood_params,arma,linear,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 2, 'ar_coefs': array([ 0.33239254, -0.44001327]), 'ma_order': 1, 'ma_coefs': array([-0.01992536])}","{'background': 'linear', 'slope': np.float64(-0.005339092874339728), 'intercept': -0.1411026736962505, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 2, 'anomaly_indices': array([204, 291], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,ood_params,400
trend_shift,trend_shift,ood_params,ma,linear,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 2, 'ma_coefs': array([0.38352103, 0.70482739])}","{'background': 'linear', 'slope': np.float64(-0.011963610126810926), 'intercept': 0.34966604605484797, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [309], 'shift_types': ['direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.011963610126810926), 'intercept': 0.34966604605484797}}]",single_event,ood_params,400
point_anomaly,point_anomaly,ood_params,ar,quadratic_trend,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 5, 'ar_coefs': array([-0.60429056, -0.63265773, -0.58107708, -0.73916082, -0.09131868])}","{'background': 'quadratic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['quadratic_trend'], 'quadratic_strength': np.float64(1.475805175876141), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'right'}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 8, 'anomaly_indices': array([ 45,  64,  82, 103, 124, 202, 310, 353], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,ood_params,400
collective_anomaly,collective_anomaly,ood_params,ar,linear,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([0.79930699, 0.11046988])}","{'background': 'linear', 'slope': np.float64(0.008895065625220886), 'intercept': -0.04864175743835475, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['ramp'], 'num_anomalies': 1, 'location': 'end', 'starts': array([307]), 'ends': array([336]), 'lengths': [29], 'magnitudes': [np.float64(3.7367742829917105)], 'magnitude_strengths': [2.3244374873180504], 'wrapper_event_label': 'collective_anomaly'}]",single_event,ood_params,400
