scenario,events,split_mode,base_distribution,background,base_info,background_info,event_infos,scenario_group,dataset,length
point_anomaly,point_anomaly,ood_background,arma,volatility_background,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 1, 'ar_coefs': array([0.27291833]), 'ma_order': 1, 'ma_coefs': array([-0.35962777])}","{'background': 'volatility_background', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['volatility_background'], 'volatility_kind': 'arch', 'volatility_strength': np.float64(1.2570180180017896), 'volatility_info': {'type': 'volatility', 'subtype': 'ARCH', 'alpha': 0.6477040164893165, 'omega': 0.11078026567934157}}","[{'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([175]), 'location': 'middle', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,ood_background,400
variance_shift,variance_shift,ood_background,ar,cubic_trend,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([-0.44042023])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(2.14472890145151), 'cubic_sign': np.int64(-1)}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [215], 'shift_magnitudes': [1.8637809299752137], 'wrapper_event_label': 'variance_shift'}]",single_event,ood_background,400
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",ood_background,arma,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 5, 'ar_coefs': array([ 0.28016064, -0.88168019,  0.29356221, -0.78087015,  0.13227078]), 'ma_order': 2, 'ma_coefs': array([ 0.2990721 , -0.09255511])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 52, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(3.00359554747733), 'quadratic_sign': np.int64(1), 'quadratic_location': 'center', 'seasonal_amplitude': np.float64(2.865145778553326)}","[{'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([298]), 'location': 'end', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['rectangular'], 'num_anomalies': 1, 'location': 'end', 'starts': array([357]), 'ends': array([379]), 'lengths': [22], 'magnitudes': [np.float64(-2.7892094445103304)], 'magnitude_strengths': [1.1719346958466987], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,ood_background,400
mean_shift,mean_shift,ood_background,ar,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 4, 'ar_coefs': array([-0.86275651, -0.17025396,  0.43159541,  0.42735034])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(0.01956087177070305), 'intercept': 0.08290105513447421, 'seasonal_period': [12, 7], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(3.12264457065956), np.float64(2.995602393007546)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [78], 'shift_magnitudes': [np.float64(4.900702723969515)], 'wrapper_event_label': 'mean_shift'}]",single_event,ood_background,400
trend_shift+collective_anomaly,"trend_shift,collective_anomaly",ood_background,arma,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 5, 'ar_coefs': array([-0.73980914,  0.48856928,  0.10916337, -0.11443616,  0.28459073]), 'ma_order': 2, 'ma_coefs': array([-0.73340633,  0.86722002])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(0.014432278076425189), 'intercept': -0.2525084325899426, 'seasonal_period': [5, 12], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(19.594495532552113), np.float64(18.546015799598813)]}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'end', 'shift_indices': [np.int64(160), np.int64(324)], 'shift_types': ['direction_change', 'magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.014432278076425189), 'intercept': -0.2525084325899426}}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'end', 'starts': array([294]), 'ends': array([333]), 'lengths': [39], 'magnitudes': [np.float64(44.21029157380559)], 'magnitude_strengths': [2.0483588925765104], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_background,400
trend_shift+point_anomaly,"trend_shift,point_anomaly",ood_background,white_noise,volatility_background+linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'volatility_background+linear', 'slope': np.float64(-0.01697813588180397), 'intercept': 0.45971716829561304, 'seasonal_period': None, 'components': ['volatility_background', 'linear'], 'volatility_kind': 'arch', 'volatility_strength': np.float64(1.6803907166725036), 'volatility_info': {'type': 'volatility', 'subtype': 'ARCH', 'alpha': 0.5905828020858814, 'omega': 0.21341271692037012}}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'end', 'shift_indices': [np.int64(61), np.int64(353)], 'shift_types': ['magnitude_change', 'magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.01697813588180397), 'intercept': 0.45971716829561304}}, {'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 4, 'anomaly_indices': array([107, 254, 366, 371], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_background,400
trend_shift,trend_shift,ood_background,ma,multiple_seasonality+linear,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 2, 'ma_coefs': array([ 0.15174323, -0.69702236])}","{'background': 'multiple_seasonality+linear', 'slope': np.float64(0.01997141080467514), 'intercept': -0.23001848111751222, 'seasonal_period': [30, 24], 'components': ['multiple_seasonality', 'linear'], 'seasonal_amplitudes': [np.float64(2.6744186010398057), np.float64(2.046992996268865)]}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [190], 'shift_types': ['direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.01997141080467514), 'intercept': -0.23001848111751222}}]",single_event,ood_background,400
mean_shift+variance_shift,"mean_shift,variance_shift",ood_background,white_noise,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 24, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(1.6322404331669154), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'right', 'seasonal_amplitude': np.float64(2.16880158592218)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [52], 'shift_magnitudes': [np.float64(1.8873131645446972)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [77], 'shift_magnitudes': [2.9406429597057047], 'wrapper_event_label': 'variance_shift'}]",shift_shift,ood_background,400
point_anomaly,point_anomaly,ood_background,ar,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([-0.89721521])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(0.028672360034450336), 'intercept': -0.1022602706100243, 'seasonal_period': [12, 5], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(4.466543037743283), np.float64(4.871260007610918)]}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 8, 'anomaly_indices': array([  8,  94, 144, 175, 347, 375, 381, 391], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,ood_background,400
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",ood_background,ma,volatility_background,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 5, 'ma_coefs': array([0.18611478, 0.3613921 , 0.45665058, 0.19546539, 0.73051847])}","{'background': 'volatility_background', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['volatility_background'], 'volatility_kind': 'garch', 'volatility_strength': np.float64(2.1673682936506515), 'volatility_info': {'type': 'volatility', 'subtype': 'GARCH', 'alpha': 0.4678281157661854, 'beta': 0.33375574804194963, 'omega': 0.4085359260067986}}","[{'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([102]), 'location': 'beginning', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['triangular'], 'num_anomalies': 1, 'location': 'beginning', 'starts': array([50]), 'ends': array([90]), 'lengths': [40], 'magnitudes': [np.float64(-4.653819077271545)], 'magnitude_strengths': [1.8136016281561278], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,ood_background,400
no_event,none,ood_background,arma,cubic_trend,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 2, 'ar_coefs': array([-0.47668612, -0.82434241]), 'ma_order': 5, 'ma_coefs': array([-0.20306669,  0.13216655, -0.57960842,  0.05851101,  0.01305027])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(1.8109460045178791), 'cubic_sign': np.int64(1)}",[],no_event,ood_background,400
variance_shift+trend_shift,"variance_shift,trend_shift",ood_background,white_noise,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(0.016282469512899866), 'intercept': -0.1204148648823734, 'seasonal_period': [30, 52], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(3.60623271903861), np.float64(3.338818132980522)]}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [196], 'shift_magnitudes': [1.8175498913885406], 'wrapper_event_label': 'variance_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [233], 'shift_types': ['direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.016282469512899866), 'intercept': -0.1204148648823734}}]",shift_shift,ood_background,400
mean_shift,mean_shift,ood_background,ma,volatility_background,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 4, 'ma_coefs': array([-0.58281812,  0.15793946, -0.53122445,  0.11725158])}","{'background': 'volatility_background', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['volatility_background'], 'volatility_kind': 'garch', 'volatility_strength': np.float64(1.5320122402850223), 'volatility_info': {'type': 'volatility', 'subtype': 'GARCH', 'alpha': 0.45370255441704643, 'beta': 0.25869997047385657, 'omega': 0.3757866239227174}}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [295], 'shift_magnitudes': [np.float64(4.41182165310312)], 'wrapper_event_label': 'mean_shift'}]",single_event,ood_background,400
variance_shift+trend_shift,"variance_shift,trend_shift",ood_background,ma,multiple_seasonality+linear,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 2, 'ma_coefs': array([-0.1758191 , -0.28959224])}","{'background': 'multiple_seasonality+linear', 'slope': np.float64(-0.02046450807326146), 'intercept': 0.047900972356914706, 'seasonal_period': [5, 7], 'components': ['multiple_seasonality', 'linear'], 'seasonal_amplitudes': [np.float64(1.4046325048797048), np.float64(1.8196093250685932)]}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 2, 'location': 'end', 'shift_indices': [np.int64(196), np.int64(340)], 'shift_magnitudes': [2.497158481052677, 2.667361046450474], 'wrapper_event_label': 'variance_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [336], 'shift_types': ['direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.02046450807326146), 'intercept': 0.047900972356914706}}]",shift_shift,ood_background,400
mean_shift+point_anomaly,"mean_shift,point_anomaly",ood_background,white_noise,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 30, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(1.605007166365155), 'quadratic_sign': np.int64(1), 'quadratic_location': 'right', 'seasonal_amplitude': np.float64(2.1864993109929967)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(90), np.int64(240)], 'shift_magnitudes': [np.float64(1.7125236603172531), np.float64(2.44776528982571)], 'wrapper_event_label': 'mean_shift'}, {'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 8, 'anomaly_indices': array([ 63,  78, 102, 156, 189, 196, 261, 363], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_background,400
mean_shift+variance_shift,"mean_shift,variance_shift",ood_background,arma,cubic_trend,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 4, 'ar_coefs': array([0.15183143, 0.24579363, 0.12578401, 0.01432787]), 'ma_order': 1, 'ma_coefs': array([0.71603202])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(2.9982977106111908), 'cubic_sign': np.int64(1)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [58], 'shift_magnitudes': [np.float64(6.00398153973708)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(228), np.int64(337)], 'shift_magnitudes': [1.9404498232549308, 2.070381341792527], 'wrapper_event_label': 'variance_shift'}]",shift_shift,ood_background,400
mean_shift+trend_shift,"mean_shift,trend_shift",ood_background,arma,multiple_seasonality+linear,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 2, 'ar_coefs': array([-0.53195942, -0.7552595 ]), 'ma_order': 2, 'ma_coefs': array([0.73055598, 0.70845624])}","{'background': 'multiple_seasonality+linear', 'slope': np.float64(-0.0226067715643912), 'intercept': 0.005334557374694016, 'seasonal_period': [12, 7], 'components': ['multiple_seasonality', 'linear'], 'seasonal_amplitudes': [np.float64(2.2061358797138393), np.float64(1.9624296128044632)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [319], 'shift_magnitudes': [np.float64(5.416965462929612)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [287], 'shift_types': ['magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.0226067715643912), 'intercept': 0.005334557374694016}}]",shift_shift,ood_background,400
collective_anomaly,collective_anomaly,ood_background,ar,cubic_trend,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([-0.3612561 ,  0.38123031])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(2.466959579058663), 'cubic_sign': np.int64(1)}","[{'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([227]), 'ends': array([270]), 'lengths': [43], 'magnitudes': [np.float64(-2.000746278629236)], 'magnitude_strengths': [1.5261662964959344], 'wrapper_event_label': 'collective_anomaly'}]",single_event,ood_background,400
variance_shift+collective_anomaly,"variance_shift,collective_anomaly",ood_background,ar,cubic_trend,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 3, 'ar_coefs': array([ 0.02475461,  0.21296951, -0.00926997])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(1.3285794072322745), 'cubic_sign': np.int64(-1)}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(224), np.int64(310)], 'shift_magnitudes': [2.9650183510396446, 2.445914299639179], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['decay'], 'num_anomalies': 1, 'location': 'beginning', 'starts': array([120]), 'ends': array([151]), 'lengths': [31], 'magnitudes': [np.float64(-2.0467450579208886)], 'magnitude_strengths': [1.9645740082711758], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_background,400
variance_shift+trend_shift,"variance_shift,trend_shift",ood_background,arma,multiple_seasonality+linear,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 3, 'ar_coefs': array([-0.43302038,  0.71363937,  0.6433778 ]), 'ma_order': 2, 'ma_coefs': array([0.08320753, 0.01304401])}","{'background': 'multiple_seasonality+linear', 'slope': np.float64(-0.024031750506416365), 'intercept': -0.007599446763966622, 'seasonal_period': [30, 24], 'components': ['multiple_seasonality', 'linear'], 'seasonal_amplitudes': [np.float64(2.7349831659690813), np.float64(2.0598751655788656)]}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [202], 'shift_magnitudes': [2.829644058020079], 'wrapper_event_label': 'variance_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [206], 'shift_types': ['direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.024031750506416365), 'intercept': -0.007599446763966622}}]",shift_shift,ood_background,400
mean_shift+collective_anomaly,"mean_shift,collective_anomaly",ood_background,ma,multiple_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 2, 'ma_coefs': array([-0.87644254, -0.11238608])}","{'background': 'multiple_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': [5, 30], 'components': ['multiple_seasonality'], 'seasonal_amplitudes': [np.float64(1.4825591195256598), np.float64(2.277014607464409)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 2, 'location': 'end', 'shift_indices': [np.int64(150), np.int64(270)], 'shift_magnitudes': [np.float64(2.8492472222959226), np.float64(2.750276381847246)], 'wrapper_event_label': 'mean_shift'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['rectangular'], 'num_anomalies': 1, 'location': 'end', 'starts': array([297]), 'ends': array([325]), 'lengths': [28], 'magnitudes': [np.float64(4.657641934286008)], 'magnitude_strengths': [1.6887059120119936], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_background,400
